
2025-04-15 09:39:47:618 MCU   @[Y] start moving to max pos: -3.00
2025-04-15 09:39:47:640 MCU   @[P] start clearing: -165.00
2025-04-15 09:39:47:662 MCU   @[N] start clearing: 69.50
2025-04-15 09:39:47:684 MCU   @[X] start clearing: -22.00
2025-04-15 09:39:47:706 MCU   @[H] start searching reference
2025-04-15 09:39:55:246 MCU   @[H] stopped by sensor L
2025-04-15 09:39:55:247 MCU   @[H] reset physical position to 0
2025-04-15 09:39:55:450 MCU   @[H] reference found (SENSOR)
2025-04-15 09:39:55:450 MCU   @[H] max: 0.00
2025-04-15 09:39:55:472 MCU   @[H] start clearing: -49.00
2025-04-15 09:39:55:658 MCU   @[X] motor cleared
2025-04-15 09:39:55:659 MCU   @[X] min: -32.01
2025-04-15 09:39:55:681 MCU   @[X] start moving to max pos: -3.00
2025-04-15 09:39:57:081 MCU   @[Y] motor reached max pos
2025-04-15 09:39:57:284 MCU   @[P] motor cleared
2025-04-15 09:39:57:284 MCU   @[P] min: -165.09
2025-04-15 09:39:57:485 MCU   @[P] start moving to home: -1.00
2025-04-15 09:40:06:727 MCU   @[X] motor reached max pos
2025-04-15 09:40:07:332 MCU   @[P] motor homed
2025-04-15 09:40:07:332 MCU   @[R] start searching reference
2025-04-15 09:40:07:677 MCU   @[H] motor cleared
2025-04-15 09:40:07:678 MCU   @[H] min: -49.00
2025-04-15 09:40:07:699 MCU   @[H] start moving to home: -24.99
2025-04-15 09:40:08:880 MCU   @[R] stopped by sensor R
2025-04-15 09:40:08:881 MCU   @[R] reset physical position to 0
2025-04-15 09:40:09:083 MCU   @[R] reference found (SENSOR)
2025-04-15 09:40:09:084 MCU   @[R] max: 0.00
2025-04-15 09:40:09:105 MCU   @[R] start clearing: -119.00
2025-04-15 09:40:10:905 MCU   @[Z] motor cleared
2025-04-15 09:40:10:905 MCU   @[Z] min: -50.01
2025-04-15 09:40:11:107 MCU   @[Z] start moving to home: -33.30
2025-04-15 09:40:12:944 MCU   @[H] motor homed
2025-04-15 09:40:12:944 MCU   @[V] start searching reference
2025-04-15 09:40:13:289 MCU   @[N] motor cleared
2025-04-15 09:40:13:290 MCU   @[N] max: 69.51
2025-04-15 09:40:13:311 MCU   @[N] start moving to home: 13.67
2025-04-15 09:40:14:890 MCU   @[V] stopped by sensor L
2025-04-15 09:40:14:891 MCU   @[V] reset physical position to 0
2025-04-15 09:40:15:093 MCU   @[V] reference found (SENSOR)
2025-04-15 09:40:15:093 MCU   @[V] max: 0.00
2025-04-15 09:40:15:116 MCU   @[V] start clearing: -49.00
2025-04-15 09:40:18:725 MCU   @[Z] motor homed
2025-04-15 09:40:23:948 MCU   @[V] motor cleared
2025-04-15 09:40:23:948 MCU   @[V] min: -49.03
2025-04-15 09:40:24:149 MCU   @[V] start moving to home: -22.94
2025-04-15 09:40:24:759 MCU   @[R] motor cleared
2025-04-15 09:40:24:759 MCU   @[R] min: -119.01
2025-04-15 09:40:24:963 MCU   @[R] start moving to home: -60.00
2025-04-15 09:40:30:192 MCU   @[V] motor homed
2025-04-15 09:40:30:193 MCU   @[X] start moving to home: -18.92
2025-04-15 09:40:30:216 MCU   @[Y] start moving to home: -13.69
2025-04-15 09:40:33:540 MCU   @[R] motor homed
2025-04-15 09:40:33:742 MCU   @[N] motor homed
2025-04-15 09:40:34:346 MCU   @[Y] motor homed
2025-04-15 09:40:35:953 MCU   @[X] motor homed
2025-04-15 09:40:35:954 MCU   @set motor P sensors to 'nonstop'
2025-04-15 09:40:35:954 MCU   @set motor R sensors to 'nonstop'
2025-04-15 09:40:35:955 MCU   @robot initialization done (70969ms)
2025-04-15 09:40:35:960 Info  @system actual [32.93,-9.99,-0,39.94,0.01,0.01,79.98,0.01]
2025-04-15 09:40:35:961 Info  @switch LED light to Green
2025-04-15 09:40:36:461 DEBUG @S.SC state (7, 26)
2025-04-15 09:40:36:461 DEBUG @E.SC state (7, 26)
2025-04-15 09:40:36:461 DEBUG @S.VE state (7, 26)
2025-04-15 09:40:36:462 DEBUG @E.VE state (7, 26)
2025-04-15 09:40:36:462 DEBUG @S.MW state (7, 26)
2025-04-15 09:40:36:536 DEBUG @E.MW state (7, 26)

2025-04-15 09:40:36:676 User  @on_startCreateCase_clicked

2025-04-15 09:43:30:184 User  @factory menu selected (Motion Control)
2025-04-15 09:43:30:189 DEBUG @S.SC state (5, 20)
2025-04-15 09:43:30:189 DEBUG @E.SC state (5, 20)
2025-04-15 09:43:30:190 DEBUG @S.VE state (5, 20)
2025-04-15 09:43:30:190 DEBUG @E.VE state (5, 20)
2025-04-15 09:43:30:190 DEBUG @S.MW state (5, 20)
2025-04-15 09:43:30:221 DEBUG @E.MW state (5, 20)

2025-04-15 09:43:33:465 User  @on_emcAxisP_clicked
2025-04-15 09:43:33:467 Info  @Motor P selected (motion control)

2025-04-15 09:43:34:437 User  @on_emcAxisZ_clicked
2025-04-15 09:43:34:438 Info  @Motor Z selected (motion control)

2025-04-15 09:43:35:945 User  @on_emcAxisX_clicked
2025-04-15 09:43:35:946 Info  @Motor X selected (motion control)

2025-04-15 09:43:37:204 User  @on_emcAxisY_clicked
2025-04-15 09:43:37:206 Info  @Motor Y selected (motion control)

2025-04-15 09:43:38:452 User  @on_emcAxisV_clicked
2025-04-15 09:43:38:453 Info  @Motor V selected (motion control)

2025-04-15 09:43:40:266 User  @on_emcAxisH_clicked
2025-04-15 09:43:40:267 Info  @Motor H selected (motion control)

2025-04-15 09:43:42:441 User  @on_emcAxisN_clicked
2025-04-15 09:43:42:442 Info  @Motor N selected (motion control)

2025-04-15 09:43:43:565 User  @on_emcAxisR_clicked
2025-04-15 09:43:43:567 Info  @Motor R selected (motion control)

2025-04-15 09:43:51:147 User  @on_emcShowDebugDialog_clicked

2025-04-15 09:44:45:416 User  @on_emcStartInitRobot_clicked
2025-04-15 09:44:47:592 Info  @start emc robot initialization
2025-04-15 09:44:47:593 Info  @Start Robot Initialization (motion control)
2025-04-15 09:44:47:593 Info  @... init robot (1) (motion control)
2025-04-15 09:44:47:594 Info  @switch LED light to Red
2025-04-15 09:44:47:594 DEBUG @S.SC state (5, 21)
2025-04-15 09:44:47:594 DEBUG @E.SC state (5, 21)
2025-04-15 09:44:47:595 DEBUG @S.VE state (5, 21)
2025-04-15 09:44:47:595 DEBUG @E.VE state (5, 21)
2025-04-15 09:44:47:595 DEBUG @S.MW state (5, 21)
2025-04-15 09:44:47:633 DEBUG @E.MW state (5, 21)
2025-04-15 09:44:47:737 MCU   @set motor P sensors to 'stop'
2025-04-15 09:44:47:737 MCU   @set motor R sensors to 'stop'
2025-04-15 09:44:47:760 MCU   @[X] start searching reference
2025-04-15 09:44:48:106 MCU   @[Y] start searching reference
2025-04-15 09:44:48:451 MCU   @[Z] start searching reference
2025-04-15 09:44:56:557 MCU   @[Y] stopped by sensor L
2025-04-15 09:44:56:558 MCU   @[Y] reset physical position to 0
2025-04-15 09:44:56:759 MCU   @[Y] reference found (SENSOR)
2025-04-15 09:44:56:759 MCU   @[Y] max: 0.00
2025-04-15 09:44:56:760 MCU   @[P] start searching reference
2025-04-15 09:44:57:104 MCU   @[N] start searching reference
2025-04-15 09:44:57:904 MCU   @[P] stopped by sensor L
2025-04-15 09:44:58:127 MCU   @[P] reset physical position to 0
2025-04-15 09:44:58:329 MCU   @[P] reference found (SENSOR)
2025-04-15 09:44:58:329 MCU   @[P] max: 0.00
2025-04-15 09:44:58:330 MCU   @[Y] start clearing: -19.50
2025-04-15 09:44:59:246 MCU   @[X] stopped by sensor L
2025-04-15 09:44:59:247 MCU   @[X] reset physical position to 0
2025-04-15 09:44:59:450 MCU   @[X] reference found (SENSOR)
2025-04-15 09:44:59:450 MCU   @[X] max: 0.00
2025-04-15 09:45:02:850 MCU   @[N] stopped by sensor L
2025-04-15 09:45:02:851 MCU   @[N] reset physical position to 0
2025-04-15 09:45:03:053 MCU   @[N] reference found (SENSOR)
2025-04-15 09:45:03:053 MCU   @[N] min: 0.00
