
2025-09-04 16:48:37:820 Info  @system actual [32.54,-9.99,0,39.96,0.01,0.02,79.99,0.01]
2025-09-04 16:48:37:821 Info  @switch LED light to Green
2025-09-04 16:48:48:332 Info  @... init robot (19) (motion control)
2025-09-04 16:48:48:332 Info  @switch LED light to Red
2025-09-04 16:48:48:518 MCU   @set motor P sensors to 'stop'
2025-09-04 16:48:48:518 MCU   @set motor R sensors to 'stop'
2025-09-04 16:48:48:541 MCU   @[X] start searching reference
2025-09-04 16:48:48:886 MCU   @[Y] start searching reference
2025-09-04 16:48:49:231 MCU   @[Z] start searching reference
2025-09-04 16:48:58:158 MCU   @[Y] stopped by sensor L
2025-09-04 16:48:58:159 MCU   @[Y] reset physical position to 0
2025-09-04 16:48:58:361 MCU   @[Y] reference found (SENSOR)
2025-09-04 16:48:58:363 MCU   @[Y] max: 0.00
2025-09-04 16:48:58:363 MCU   @[P] start searching reference
2025-09-04 16:48:58:707 MCU   @[N] start searching reference
2025-09-04 16:48:59:520 MCU   @[P] stopped by sensor L
2025-09-04 16:48:59:542 MCU   @[P] reset physical position to 0
2025-09-04 16:48:59:743 MCU   @[P] reference found (SENSOR)
2025-09-04 16:48:59:743 MCU   @[P] max: 0.00
2025-09-04 16:48:59:744 MCU   @[Y] start clearing: -19.50
2025-09-04 16:49:02:469 MCU   @[X] stopped by sensor L
2025-09-04 16:49:02:471 MCU   @[X] reset physical position to 0
2025-09-04 16:49:02:674 MCU   @[X] reference found (SENSOR)
2025-09-04 16:49:02:675 MCU   @[X] max: 0.00
2025-09-04 16:49:04:871 MCU   @[N] stopped by sensor L
2025-09-04 16:49:04:872 MCU   @[N] reset physical position to 0
2025-09-04 16:49:05:074 MCU   @[N] reference found (SENSOR)
2025-09-04 16:49:05:074 MCU   @[N] min: 0.00
2025-09-04 16:49:06:068 MCU   @[Z] stopped by sensor L
2025-09-04 16:49:06:070 MCU   @[Z] reset physical position to 0
2025-09-04 16:49:06:272 MCU   @[Z] reference found (SENSOR)
2025-09-04 16:49:06:272 MCU   @[Z] max: 0.00
2025-09-04 16:49:07:066 MCU   @[Y] motor cleared
2025-09-04 16:49:07:066 MCU   @[Y] min: -29.51
2025-09-04 16:49:07:067 MCU   @[Z] start clearing: -50.00
2025-09-04 16:49:07:089 MCU   @[Y] start moving to max pos: -3.00
2025-09-04 16:49:07:110 MCU   @[P] start clearing: -165.00
2025-09-04 16:49:07:133 MCU   @[N] start clearing: 69.50
2025-09-04 16:49:07:157 MCU   @[X] start clearing: -22.00
2025-09-04 16:49:07:180 MCU   @[H] start searching reference
2025-09-04 16:49:13:328 MCU   @[H] stopped by sensor L
2025-09-04 16:49:13:328 MCU   @[H] reset physical position to 0
2025-09-04 16:49:13:530 MCU   @[H] reference found (SENSOR)
2025-09-04 16:49:13:530 MCU   @[H] max: 0.00
2025-09-04 16:49:13:553 MCU   @[H] start clearing: -49.00
2025-09-04 16:49:16:312 MCU   @[X] motor cleared
2025-09-04 16:49:16:315 MCU   @[X] min: -32.00
2025-09-04 16:49:16:516 MCU   @[X] start moving to max pos: -3.00
2025-09-04 16:49:17:130 MCU   @[Y] motor reached max pos
2025-09-04 16:49:17:734 MCU   @[P] motor cleared
2025-09-04 16:49:17:734 MCU   @[P] min: -165.04
2025-09-04 16:49:17:935 MCU   @[P] start moving to home: -1.00
2025-09-04 16:49:24:147 MCU   @[H] motor cleared
2025-09-04 16:49:24:147 MCU   @[H] min: -49.01
2025-09-04 16:49:24:349 MCU   @[H] start moving to home: -24.13
2025-09-04 16:49:28:575 MCU   @[P] motor homed
2025-09-04 16:49:28:575 MCU   @[R] start searching reference
2025-09-04 16:49:29:680 MCU   @[X] motor reached max pos
2025-09-04 16:49:29:681 MCU   @[H] motor homed
2025-09-04 16:49:29:681 MCU   @[V] start searching reference
2025-09-04 16:49:32:590 MCU   @[Z] motor cleared
2025-09-04 16:49:32:590 MCU   @[Z] min: -50.01
2025-09-04 16:49:32:791 MCU   @[Z] start moving to home: -32.50
2025-09-04 16:49:35:229 MCU   @[N] motor cleared
2025-09-04 16:49:35:230 MCU   @[N] max: 69.51
2025-09-04 16:49:35:253 MCU   @[N] start moving to home: 13.67
2025-09-04 16:49:36:279 MCU   @[V] stopped by sensor L
2025-09-04 16:49:36:279 MCU   @[V] reset physical position to 0
2025-09-04 16:49:36:482 MCU   @[V] reference found (SENSOR)
2025-09-04 16:49:36:482 MCU   @[V] max: 0.00
2025-09-04 16:49:36:503 MCU   @[V] start clearing: -49.00
2025-09-04 16:49:37:675 MCU   @[R] stopped by sensor R
2025-09-04 16:49:37:675 MCU   @[R] reset physical position to 0
2025-09-04 16:49:37:877 MCU   @[R] reference found (SENSOR)
2025-09-04 16:49:37:877 MCU   @[R] max: 0.00
2025-09-04 16:49:37:899 MCU   @[R] start clearing: -119.00
2025-09-04 16:49:41:689 MCU   @[Z] motor homed
2025-09-04 16:49:46:106 MCU   @[V] motor cleared
2025-09-04 16:49:46:107 MCU   @[V] min: -49.02
2025-09-04 16:49:46:308 MCU   @[V] start moving to home: -24.58
2025-09-04 16:49:52:973 MCU   @[V] motor homed
2025-09-04 16:49:52:974 MCU   @[X] start moving to home: -19.40
2025-09-04 16:49:52:997 MCU   @[Y] start moving to home: -13.72
2025-09-04 16:49:53:717 MCU   @[R] motor cleared
2025-09-04 16:49:53:718 MCU   @[R] min: -119.02
2025-09-04 16:49:53:919 MCU   @[R] start moving to home: -61.40
2025-09-04 16:49:57:324 MCU   @[Y] motor homed
2025-09-04 16:49:57:528 MCU   @[N] motor homed
2025-09-04 16:49:59:535 MCU   @[X] motor homed
2025-09-04 16:50:01:946 MCU   @[R] motor homed
2025-09-04 16:50:01:947 MCU   @set motor P sensors to 'nonstop'
2025-09-04 16:50:01:948 MCU   @set motor R sensors to 'nonstop'
2025-09-04 16:50:01:948 MCU   @robot initialization done (73438ms)
2025-09-04 16:50:01:959 Info  @system actual [32.53,-9.99,0,39.96,0.01,0.02,79.99,0.01]
2025-09-04 16:50:01:960 Info  @switch LED light to Green
2025-09-04 16:50:12:454 Info  @... init robot (18) (motion control)
2025-09-04 16:50:12:455 Info  @switch LED light to Red
2025-09-04 16:50:12:671 MCU   @set motor P sensors to 'stop'
2025-09-04 16:50:12:673 MCU   @set motor R sensors to 'stop'
2025-09-04 16:50:12:696 MCU   @[X] start searching reference
2025-09-04 16:50:13:042 MCU   @[Y] start searching reference
2025-09-04 16:50:13:387 MCU   @[Z] start searching reference
2025-09-04 16:50:22:296 MCU   @[Y] stopped by sensor L
2025-09-04 16:50:22:298 MCU   @[Y] reset physical position to 0
2025-09-04 16:50:22:499 MCU   @[Y] reference found (SENSOR)
2025-09-04 16:50:22:499 MCU   @[Y] max: 0.00
2025-09-04 16:50:22:500 MCU   @[P] start searching reference
2025-09-04 16:50:22:847 MCU   @[N] start searching reference
2025-09-04 16:50:23:663 MCU   @[P] stopped by sensor L
2025-09-04 16:50:23:686 MCU   @[P] reset physical position to 0
2025-09-04 16:50:23:888 MCU   @[P] reference found (SENSOR)
2025-09-04 16:50:23:889 MCU   @[P] max: 0.00
2025-09-04 16:50:23:889 MCU   @[Y] start clearing: -19.50
2025-09-04 16:50:26:618 MCU   @[X] stopped by sensor L
2025-09-04 16:50:26:618 MCU   @[X] reset physical position to 0
2025-09-04 16:50:26:820 MCU   @[X] reference found (SENSOR)
2025-09-04 16:50:26:821 MCU   @[X] max: 0.00
2025-09-04 16:50:29:019 MCU   @[N] stopped by sensor L
2025-09-04 16:50:29:019 MCU   @[N] reset physical position to 0
2025-09-04 16:50:29:221 MCU   @[N] reference found (SENSOR)
2025-09-04 16:50:29:221 MCU   @[N] min: 0.00
2025-09-04 16:50:30:217 MCU   @[Z] stopped by sensor L
2025-09-04 16:50:30:218 MCU   @[Z] reset physical position to 0
2025-09-04 16:50:30:420 MCU   @[Z] reference found (SENSOR)
2025-09-04 16:50:30:421 MCU   @[Z] max: 0.00
2025-09-04 16:50:31:218 MCU   @[Y] motor cleared
2025-09-04 16:50:31:218 MCU   @[Y] min: -29.51
2025-09-04 16:50:31:218 MCU   @[Z] start clearing: -50.00
2025-09-04 16:50:31:241 MCU   @[Y] start moving to max pos: -3.00
2025-09-04 16:50:31:263 MCU   @[P] start clearing: -165.00
2025-09-04 16:50:31:286 MCU   @[N] start clearing: 69.50
2025-09-04 16:50:31:308 MCU   @[X] start clearing: -22.00
2025-09-04 16:50:31:333 MCU   @[H] start searching reference
2025-09-04 16:50:37:457 MCU   @[H] stopped by sensor L
2025-09-04 16:50:37:457 MCU   @[H] reset physical position to 0
2025-09-04 16:50:37:660 MCU   @[H] reference found (SENSOR)
2025-09-04 16:50:37:660 MCU   @[H] max: 0.00
2025-09-04 16:50:37:682 MCU   @[H] start clearing: -49.00
2025-09-04 16:50:40:419 MCU   @[X] motor cleared
2025-09-04 16:50:40:419 MCU   @[X] min: -32.00
2025-09-04 16:50:40:621 MCU   @[X] start moving to max pos: -3.00
2025-09-04 16:50:40:811 MCU   @[Y] motor reached max pos
2025-09-04 16:50:42:038 MCU   @[P] motor cleared
2025-09-04 16:50:42:038 MCU   @[P] min: -165.04
2025-09-04 16:50:42:240 MCU   @[P] start moving to home: -1.00
2025-09-04 16:50:48:269 MCU   @[H] motor cleared
2025-09-04 16:50:48:269 MCU   @[H] min: -49.01
2025-09-04 16:50:48:471 MCU   @[H] start moving to home: -24.13
2025-09-04 16:50:52:901 MCU   @[P] motor homed
2025-09-04 16:50:52:902 MCU   @[R] start searching reference
2025-09-04 16:50:53:566 MCU   @[H] motor homed
2025-09-04 16:50:53:566 MCU   @[V] start searching reference
2025-09-04 16:50:53:911 MCU   @[X] motor reached max pos
2025-09-04 16:50:56:884 MCU   @[Z] motor cleared
2025-09-04 16:50:56:885 MCU   @[Z] min: -50.00
2025-09-04 16:50:57:087 MCU   @[Z] start moving to home: -32.50
2025-09-04 16:50:59:327 MCU   @[N] motor cleared
2025-09-04 16:50:59:328 MCU   @[N] max: 69.51
2025-09-04 16:50:59:352 MCU   @[N] start moving to home: 13.67
2025-09-04 16:50:59:978 MCU   @[V] stopped by sensor L
2025-09-04 16:51:00:180 MCU   @[V] reset physical position to 0
2025-09-04 16:51:00:382 MCU   @[V] reference found (SENSOR)
2025-09-04 16:51:00:382 MCU   @[V] max: 0.00
2025-09-04 16:51:00:404 MCU   @[V] start clearing: -49.00
2025-09-04 16:51:01:998 MCU   @[R] stopped by sensor R
2025-09-04 16:51:01:999 MCU   @[R] reset physical position to 0
2025-09-04 16:51:02:201 MCU   @[R] reference found (SENSOR)
2025-09-04 16:51:02:201 MCU   @[R] max: 0.00
2025-09-04 16:51:02:225 MCU   @[R] start clearing: -119.00
2025-09-04 16:51:05:997 MCU   @[Z] motor homed
2025-09-04 16:51:10:017 MCU   @[V] motor cleared
2025-09-04 16:51:10:017 MCU   @[V] min: -49.02
2025-09-04 16:51:10:219 MCU   @[V] start moving to home: -24.58
2025-09-04 16:51:16:833 MCU   @[V] motor homed
2025-09-04 16:51:16:833 MCU   @[X] start moving to home: -19.40
2025-09-04 16:51:16:858 MCU   @[Y] start moving to home: -13.72
2025-09-04 16:51:17:977 MCU   @[R] motor cleared
2025-09-04 16:51:17:977 MCU   @[R] min: -119.02
2025-09-04 16:51:18:179 MCU   @[R] start moving to home: -61.40
2025-09-04 16:51:21:205 MCU   @[Y] motor homed
2025-09-04 16:51:21:810 MCU   @[N] motor homed
2025-09-04 16:51:23:417 MCU   @[X] motor homed
2025-09-04 16:51:26:229 MCU   @[R] motor homed
2025-09-04 16:51:26:229 MCU   @set motor P sensors to 'nonstop'
2025-09-04 16:51:26:229 MCU   @set motor R sensors to 'nonstop'
2025-09-04 16:51:26:229 MCU   @robot initialization done (73563ms)
2025-09-04 16:51:26:265 Info  @system actual [32.53,-9.99,0,39.96,0.01,0.02,79.99,0.01]
2025-09-04 16:51:26:266 Info  @switch LED light to Green
2025-09-04 16:51:36:774 Info  @... init robot (17) (motion control)
2025-09-04 16:51:36:774 Info  @switch LED light to Red
2025-09-04 16:51:36:910 MCU   @set motor P sensors to 'stop'
2025-09-04 16:51:36:910 MCU   @set motor R sensors to 'stop'
2025-09-04 16:51:36:935 MCU   @[X] start searching reference
2025-09-04 16:51:37:281 MCU   @[Y] start searching reference
2025-09-04 16:51:37:626 MCU   @[Z] start searching reference
2025-09-04 16:51:46:563 MCU   @[Y] stopped by sensor L
2025-09-04 16:51:46:564 MCU   @[Y] reset physical position to 0
2025-09-04 16:51:46:766 MCU   @[Y] reference found (SENSOR)
2025-09-04 16:51:46:767 MCU   @[Y] max: 0.00
2025-09-04 16:51:46:767 MCU   @[P] start searching reference
2025-09-04 16:51:47:113 MCU   @[N] start searching reference
2025-09-04 16:51:47:925 MCU   @[P] stopped by sensor L
2025-09-04 16:51:47:947 MCU   @[P] reset physical position to 0
2025-09-04 16:51:48:150 MCU   @[P] reference found (SENSOR)
2025-09-04 16:51:48:150 MCU   @[P] max: 0.00
2025-09-04 16:51:48:151 MCU   @[Y] start clearing: -19.50
2025-09-04 16:51:51:098 MCU   @[X] stopped by sensor L
2025-09-04 16:51:51:098 MCU   @[X] reset physical position to 0
2025-09-04 16:51:51:300 MCU   @[X] reference found (SENSOR)
2025-09-04 16:51:51:300 MCU   @[X] max: 0.00
2025-09-04 16:51:53:296 MCU   @[N] stopped by sensor L
2025-09-04 16:51:53:297 MCU   @[N] reset physical position to 0
2025-09-04 16:51:53:498 MCU   @[N] reference found (SENSOR)
2025-09-04 16:51:53:498 MCU   @[N] min: 0.00
2025-09-04 16:51:54:492 MCU   @[Z] stopped by sensor L
2025-09-04 16:51:54:492 MCU   @[Z] reset physical position to 0
2025-09-04 16:51:54:694 MCU   @[Z] reference found (SENSOR)
2025-09-04 16:51:54:694 MCU   @[Z] max: 0.00
2025-09-04 16:51:55:284 MCU   @[Y] motor cleared
2025-09-04 16:51:55:284 MCU   @[Y] min: -29.51
2025-09-04 16:51:55:285 MCU   @[Z] start clearing: -50.00
2025-09-04 16:51:55:307 MCU   @[Y] start moving to max pos: -3.00
2025-09-04 16:51:55:330 MCU   @[P] start clearing: -165.00
2025-09-04 16:51:55:352 MCU   @[N] start clearing: 69.50
2025-09-04 16:51:55:374 MCU   @[X] start clearing: -22.00
2025-09-04 16:51:55:396 MCU   @[H] start searching reference
2025-09-04 16:52:01:517 MCU   @[H] stopped by sensor L
2025-09-04 16:52:01:518 MCU   @[H] reset physical position to 0
2025-09-04 16:52:01:720 MCU   @[H] reference found (SENSOR)
2025-09-04 16:52:01:720 MCU   @[H] max: 0.00
2025-09-04 16:52:01:742 MCU   @[H] start clearing: -49.00
2025-09-04 16:52:04:521 MCU   @[X] motor cleared
2025-09-04 16:52:04:521 MCU   @[X] min: -32.00
2025-09-04 16:52:04:723 MCU   @[X] start moving to max pos: -3.00
2025-09-04 16:52:04:912 MCU   @[Y] motor reached max pos
2025-09-04 16:52:06:138 MCU   @[P] motor cleared
2025-09-04 16:52:06:138 MCU   @[P] min: -165.04
2025-09-04 16:52:06:340 MCU   @[P] start moving to home: -1.00
2025-09-04 16:52:12:369 MCU   @[H] motor cleared
2025-09-04 16:52:12:370 MCU   @[H] min: -49.01
2025-09-04 16:52:12:571 MCU   @[H] start moving to home: -24.13
2025-09-04 16:52:16:996 MCU   @[P] motor homed
2025-09-04 16:52:16:996 MCU   @[R] start searching reference
2025-09-04 16:52:17:656 MCU   @[H] motor homed
2025-09-04 16:52:17:656 MCU   @[V] start searching reference
2025-09-04 16:52:18:003 MCU   @[X] motor reached max pos
2025-09-04 16:52:20:968 MCU   @[Z] motor cleared
2025-09-04 16:52:20:968 MCU   @[Z] min: -50.01
2025-09-04 16:52:21:169 MCU   @[Z] start moving to home: -32.50
2025-09-04 16:52:23:386 MCU   @[N] motor cleared
2025-09-04 16:52:23:387 MCU   @[N] max: 69.51
2025-09-04 16:52:23:408 MCU   @[N] start moving to home: 13.67
2025-09-04 16:52:24:230 MCU   @[V] stopped by sensor L
2025-09-04 16:52:24:230 MCU   @[V] reset physical position to 0
2025-09-04 16:52:24:432 MCU   @[V] reference found (SENSOR)
2025-09-04 16:52:24:432 MCU   @[V] max: 0.00
2025-09-04 16:52:24:454 MCU   @[V] start clearing: -49.00
2025-09-04 16:52:26:028 MCU   @[R] stopped by sensor R
2025-09-04 16:52:26:230 MCU   @[R] reset physical position to 0
2025-09-04 16:52:26:432 MCU   @[R] reference found (SENSOR)
2025-09-04 16:52:26:432 MCU   @[R] max: 0.00
2025-09-04 16:52:26:454 MCU   @[R] start clearing: -119.00
2025-09-04 16:52:30:044 MCU   @[Z] motor homed
2025-09-04 16:52:34:062 MCU   @[V] motor cleared
2025-09-04 16:52:34:062 MCU   @[V] min: -49.02
2025-09-04 16:52:34:264 MCU   @[V] start moving to home: -24.58
2025-09-04 16:52:40:899 MCU   @[V] motor homed
2025-09-04 16:52:40:899 MCU   @[X] start moving to home: -19.40
2025-09-04 16:52:40:922 MCU   @[Y] start moving to home: -13.72
2025-09-04 16:52:42:240 MCU   @[R] motor cleared
2025-09-04 16:52:42:240 MCU   @[R] min: -119.02
2025-09-04 16:52:42:441 MCU   @[R] start moving to home: -61.40
2025-09-04 16:52:45:262 MCU   @[Y] motor homed
2025-09-04 16:52:45:664 MCU   @[N] motor homed
2025-09-04 16:52:47:473 MCU   @[X] motor homed
2025-09-04 16:52:50:484 MCU   @[R] motor homed
2025-09-04 16:52:50:485 MCU   @set motor P sensors to 'nonstop'
2025-09-04 16:52:50:485 MCU   @set motor R sensors to 'nonstop'
2025-09-04 16:52:50:485 MCU   @robot initialization done (73578ms)
2025-09-04 16:52:50:488 Info  @system actual [32.53,-9.99,0,39.96,0.01,0.02,79.99,0.01]
2025-09-04 16:52:50:489 Info  @switch LED light to Green
2025-09-04 16:53:00:992 Info  @... init robot (16) (motion control)
2025-09-04 16:53:00:993 Info  @switch LED light to Red
2025-09-04 16:53:01:202 MCU   @set motor P sensors to 'stop'
2025-09-04 16:53:01:202 MCU   @set motor R sensors to 'stop'
2025-09-04 16:53:01:225 MCU   @[X] start searching reference
2025-09-04 16:53:01:570 MCU   @[Y] start searching reference
2025-09-04 16:53:01:915 MCU   @[Z] start searching reference
2025-09-04 16:53:10:623 MCU   @[Y] stopped by sensor L
2025-09-04 16:53:10:825 MCU   @[Y] reset physical position to 0
2025-09-04 16:53:11:029 MCU   @[Y] reference found (SENSOR)
2025-09-04 16:53:11:029 MCU   @[Y] max: 0.00
2025-09-04 16:53:11:029 MCU   @[P] start searching reference
2025-09-04 16:53:11:374 MCU   @[N] start searching reference
2025-09-04 16:53:12:185 MCU   @[P] stopped by sensor L
2025-09-04 16:53:12:408 MCU   @[P] reset physical position to 0
2025-09-04 16:53:12:610 MCU   @[P] reference found (SENSOR)
2025-09-04 16:53:12:610 MCU   @[P] max: 0.00
2025-09-04 16:53:12:611 MCU   @[Y] start clearing: -19.50
2025-09-04 16:53:15:137 MCU   @[X] stopped by sensor L
2025-09-04 16:53:15:339 MCU   @[X] reset physical position to 0
2025-09-04 16:53:15:541 MCU   @[X] reference found (SENSOR)
2025-09-04 16:53:15:541 MCU   @[X] max: 0.00
2025-09-04 16:53:17:558 MCU   @[N] stopped by sensor L
2025-09-04 16:53:17:559 MCU   @[N] reset physical position to 0
2025-09-04 16:53:17:762 MCU   @[N] reference found (SENSOR)
2025-09-04 16:53:17:762 MCU   @[N] min: 0.00
2025-09-04 16:53:18:753 MCU   @[Z] stopped by sensor L
2025-09-04 16:53:18:753 MCU   @[Z] reset physical position to 0
2025-09-04 16:53:18:955 MCU   @[Z] reference found (SENSOR)
2025-09-04 16:53:18:955 MCU   @[Z] max: 0.00
2025-09-04 16:53:19:747 MCU   @[Y] motor cleared
2025-09-04 16:53:19:747 MCU   @[Y] min: -29.51
2025-09-04 16:53:19:748 MCU   @[Z] start clearing: -50.00
2025-09-04 16:53:19:770 MCU   @[Y] start moving to max pos: -3.00
2025-09-04 16:53:19:791 MCU   @[P] start clearing: -165.00
2025-09-04 16:53:19:814 MCU   @[N] start clearing: 69.50
2025-09-04 16:53:19:836 MCU   @[X] start clearing: -22.00
2025-09-04 16:53:19:858 MCU   @[H] start searching reference
2025-09-04 16:53:25:979 MCU   @[H] stopped by sensor L
2025-09-04 16:53:25:979 MCU   @[H] reset physical position to 0
2025-09-04 16:53:26:181 MCU   @[H] reference found (SENSOR)
2025-09-04 16:53:26:182 MCU   @[H] max: 0.00
2025-09-04 16:53:26:206 MCU   @[H] start clearing: -49.00
2025-09-04 16:53:29:003 MCU   @[X] motor cleared
2025-09-04 16:53:29:003 MCU   @[X] min: -32.01
2025-09-04 16:53:29:204 MCU   @[X] start moving to max pos: -3.00
2025-09-04 16:53:29:353 MCU   @[Y] motor reached max pos
2025-09-04 16:53:30:421 MCU   @[P] motor cleared
2025-09-04 16:53:30:421 MCU   @[P] min: -165.04
2025-09-04 16:53:30:623 MCU   @[P] start moving to home: -1.00
2025-09-04 16:53:36:856 MCU   @[H] motor cleared
2025-09-04 16:53:36:856 MCU   @[H] min: -49.01
2025-09-04 16:53:37:057 MCU   @[H] start moving to home: -24.13
2025-09-04 16:53:41:300 MCU   @[P] motor homed
2025-09-04 16:53:41:300 MCU   @[R] start searching reference
2025-09-04 16:53:42:385 MCU   @[H] motor homed
2025-09-04 16:53:42:385 MCU   @[V] start searching reference
2025-09-04 16:53:42:731 MCU   @[X] motor reached max pos
