DateTime,Axis,CurPosCount,CurPosUnit,CmdID,TgtPosCount,TgtPosUnit,DiffCount,DiffUnit
2026-01-06 10:15:17:967,N,-918365,11.47,TPOS,-998423,12.4712,-80058,1.0000
2026-01-06 10:15:18:178,N,-918365,11.47,TPOS_S,-,-,-,-
2026-01-06 10:15:18:708,N,-999648,12.49,TPOS_E,-998423,12.4712,1225,-0.0153
